Using CUDA GPU
Using AdamW optimizer (lr=0.0003)
Step 1270/2000  loss: 3.37088  lr: 9.66309e-05  step_ms: 58  tok/s: 34438  ETA: 0m
Step 1280/2000  loss: 3.53878  lr: 9.43204e-05  step_ms: 58  tok/s: 34439  ETA: 0m
Step 1290/2000  loss: 3.18266  lr: 9.20251e-05  step_ms: 58  tok/s: 34440  ETA: 0m
Step 1300/2000  loss: 3.18361  lr: 8.97457e-05  step_ms: 58  tok/s: 34441  ETA: 0m
Step 1310/2000  loss: 3.37657  lr: 8.74827e-05  step_ms: 58  tok/s: 34441  ETA: 0m
Step 1320/2000  loss: 3.55014  lr: 8.52368e-05  step_ms: 58  tok/s: 34441  ETA: 0m
Step 1330/2000  loss: 3.50986  lr: 8.30087e-05  step_ms: 61  tok/s: 34443  ETA: 0m
Step 1340/2000  loss: 3.39319  lr: 8.07988e-05  step_ms: 58  tok/s: 34445  ETA: 0m
Step 1350/2000  loss: 3.145  lr: 7.86079e-05  step_ms: 58  tok/s: 34446  ETA: 0m
Step 1360/2000  loss: 3.45195  lr: 7.64365e-05  step_ms: 58  tok/s: 34447  ETA: 0m
Step 1370/2000  loss: 3.50064  lr: 7.42852e-05  step_ms: 58  tok/s: 34447  ETA: 0m
Step 1380/2000  loss: 3.38519  lr: 7.21546e-05  step_ms: 58  tok/s: 34449  ETA: 0m
Step 1390/2000  loss: 3.25011  lr: 7.00452e-05  step_ms: 58  tok/s: 34449  ETA: 0m
Step 1400/2000  loss: 3.12548  lr: 6.79578e-05  step_ms: 58  tok/s: 34449  ETA: 0m
Step 1410/2000  loss: 3.48187  lr: 6.58927e-05  step_ms: 60  tok/s: 34450  ETA: 0m
Step 1420/2000  loss: 3.12082  lr: 6.38507e-05  step_ms: 61  tok/s: 34451  ETA: 0m
Step 1430/2000  loss: 3.36259  lr: 6.18322e-05  step_ms: 58  tok/s: 34452  ETA: 0m
Step 1440/2000  loss: 3.12993  lr: 5.98378e-05  step_ms: 58  tok/s: 34454  ETA: 0m
Step 1450/2000  loss: 3.50209  lr: 5.78681e-05  step_ms: 58  tok/s: 34454  ETA: 0m
Step 1460/2000  loss: 3.27455  lr: 5.59235e-05  step_ms: 58  tok/s: 34454  ETA: 0m
Step 1470/2000  loss: 3.25511  lr: 5.40047e-05  step_ms: 58  tok/s: 34455  ETA: 0m
Step 1480/2000  loss: 3.22932  lr: 5.21121e-05  step_ms: 58  tok/s: 34456  ETA: 0m
Step 1490/2000  loss: 3.5193  lr: 5.02463e-05  step_ms: 58  tok/s: 34457  ETA: 0m
Step 1500/2000  loss: 3.27766  lr: 4.84078e-05  step_ms: 59  tok/s: 34457  ETA: 0m
Step 1510/2000  loss: 3.45826  lr: 4.6597e-05  step_ms: 60  tok/s: 34458  ETA: 0m
Step 1520/2000  loss: 3.53362  lr: 4.48145e-05  step_ms: 61  tok/s: 34459  ETA: 0m
Step 1530/2000  loss: 3.12492  lr: 4.30607e-05  step_ms: 58  tok/s: 34460  ETA: 0m
Step 1540/2000  loss: 3.24501  lr: 4.13362e-05  step_ms: 58  tok/s: 34461  ETA: 0m
Step 1550/2000  loss: 3.27657  lr: 3.96414e-05  step_ms: 59  tok/s: 34462  ETA: 0m
Step 1560/2000  loss: 3.51549  lr: 3.79768e-05  step_ms: 58  tok/s: 34462  ETA: 0m
Step 1570/2000  loss: 3.14768  lr: 3.63428e-05  step_ms: 58  tok/s: 34463  ETA: 0m
Step 1580/2000  loss: 3.46828  lr: 3.47398e-05  step_ms: 61  tok/s: 34463  ETA: 0m
Step 1590/2000  loss: 3.3239  lr: 3.31684e-05  step_ms: 58  tok/s: 34462  ETA: 0m
Step 1600/2000  loss: 3.19125  lr: 3.16289e-05  step_ms: 60  tok/s: 34462  ETA: 0m
Step 1610/2000  loss: 3.41507  lr: 3.01218e-05  step_ms: 61  tok/s: 34463  ETA: 0m
Step 1620/2000  loss: 3.3083  lr: 2.86475e-05  step_ms: 58  tok/s: 34464  ETA: 0m
Step 1630/2000  loss: 3.51103  lr: 2.72063e-05  step_ms: 58  tok/s: 34464  ETA: 0m
Step 1640/2000  loss: 3.26171  lr: 2.57987e-05  step_ms: 58  tok/s: 34464  ETA: 0m
Step 1650/2000  loss: 3.04121  lr: 2.4425e-05  step_ms: 58  tok/s: 34464  ETA: 0m
Step 1660/2000  loss: 3.30822  lr: 2.30857e-05  step_ms: 59  tok/s: 34464  ETA: 0m
Step 1670/2000  loss: 3.44074  lr: 2.17811e-05  step_ms: 58  tok/s: 34464  ETA: 0m
Step 1680/2000  loss: 3.30752  lr: 2.05115e-05  step_ms: 60  tok/s: 34464  ETA: 0m
Step 1690/2000  loss: 3.47187  lr: 1.92774e-05  step_ms: 58  tok/s: 34463  ETA: 0m
Step 1700/2000  loss: 3.42151  lr: 1.80789e-05  step_ms: 61  tok/s: 34463  ETA: 0m
Step 1710/2000  loss: 3.21619  lr: 1.69166e-05  step_ms: 62  tok/s: 34463  ETA: 0m
Step 1720/2000  loss: 3.1296  lr: 1.57906e-05  step_ms: 58  tok/s: 34464  ETA: 0m
Step 1730/2000  loss: 3.25022  lr: 1.47013e-05  step_ms: 58  tok/s: 34464  ETA: 0m
Step 1740/2000  loss: 3.40482  lr: 1.3649e-05  step_ms: 58  tok/s: 34464  ETA: 0m
Step 1750/2000  loss: 3.28031  lr: 1.2634e-05  step_ms: 59  tok/s: 34464  ETA: 0m
Step 1760/2000  loss: 3.33036  lr: 1.16565e-05  step_ms: 59  tok/s: 34464  ETA: 0m
Step 1770/2000  loss: 3.21404  lr: 1.07169e-05  step_ms: 58  tok/s: 34465  ETA: 0m
Step 1780/2000  loss: 3.35685  lr: 9.81533e-06  step_ms: 58  tok/s: 34466  ETA: 0m
Step 1790/2000  loss: 3.44002  lr: 8.95209e-06  step_ms: 58  tok/s: 34466  ETA: 0m
Step 1800/2000  loss: 3.35595  lr: 8.12741e-06  step_ms: 58  tok/s: 34467  ETA: 0m
Step 1810/2000  loss: 3.48099  lr: 7.34152e-06  step_ms: 59  tok/s: 34467  ETA: 0m
Step 1820/2000  loss: 3.42152  lr: 6.59463e-06  step_ms: 58  tok/s: 34467  ETA: 0m
Step 1830/2000  loss: 3.48252  lr: 5.88695e-06  step_ms: 58  tok/s: 34467  ETA: 0m
Step 1840/2000  loss: 3.45957  lr: 5.21866e-06  step_ms: 58  tok/s: 34467  ETA: 0m
Step 1850/2000  loss: 3.25512  lr: 4.58996e-06  step_ms: 58  tok/s: 34467  ETA: 0m
Step 1860/2000  loss: 3.3845  lr: 4.00101e-06  step_ms: 59  tok/s: 34467  ETA: 0m
Step 1870/2000  loss: 3.35848  lr: 3.45198e-06  step_ms: 58  tok/s: 34468  ETA: 0m
Step 1880/2000  loss: 3.3532  lr: 2.94301e-06  step_ms: 58  tok/s: 34469  ETA: 0m
Step 1890/2000  loss: 3.4225  lr: 2.47424e-06  step_ms: 58  tok/s: 34470  ETA: 0m
Step 1900/2000  loss: 3.42637  lr: 2.0458e-06  step_ms: 58  tok/s: 34470  ETA: 0m
Step 1910/2000  loss: 3.10811  lr: 1.65782e-06  step_ms: 58  tok/s: 34471  ETA: 0m
Step 1920/2000  loss: 3.10882  lr: 1.31039e-06  step_ms: 59  tok/s: 34471  ETA: 0m
Step 1930/2000  loss: 3.35137  lr: 1.00361e-06  step_ms: 59  tok/s: 34470  ETA: 0m
Step 1940/2000  loss: 3.28063  lr: 7.37565e-07  step_ms: 58  tok/s: 34470  ETA: 0m
Step 1950/2000  loss: 3.17571  lr: 5.12326e-07  step_ms: 58  tok/s: 34470  ETA: 0m
Step 1960/2000  loss: 3.2532  lr: 3.27956e-07  step_ms: 59  tok/s: 34470  ETA: 0m
Step 1970/2000  loss: 3.44414  lr: 1.84505e-07  step_ms: 58  tok/s: 34470  ETA: 0m
Step 1980/2000  loss: 3.39608  lr: 8.20114e-08  step_ms: 58  tok/s: 34471  ETA: 0m
Step 1990/2000  loss: 3.10755  lr: 2.05043e-08  step_ms: 58  tok/s: 34471  ETA: 0m

=== Training Summary ===
  Steps: 2000
  Total tokens: 4096000
  Wall time: 118s (1m 58s)
  Throughput: 34472 tok/s
========================
Saved checkpoint to /home/dkruger/tmp/ru/olmo-xp/OLMo-corecpp/checkpoints/30M_cpplm.pt
